PLAYER_ID,PLAYER,TEAM,AGE,HEIGHT,HEIGHT_IN,WEIGHT,POSITION
1642359,Pacôme Dadiet,NYK,19.0,6-8,80,210,Forward
1631094,Paolo Banchero,ORL,22.0,6-10,82,250,Forward
1627783,Pascal Siakam,IND,31.0,6-8,80,245,Forward
1626192,Pat Connaughton,MIL,32.0,6-5,77,209,Guard
1630311,Pat Spencer,GSW,28.0,6-3,75,205,Guard
1631116,Patrick Baldwin Jr.,LAC,22.0,6-9,81,220,Forward
1630172,Patrick Williams,CHI,23.0,6-7,79,215,Forward
201988,Patty Mills,LAC,36.0,6-2,74,180,Guard
202331,Paul George,PHI,35.0,6-8,80,220,Forward
1630194,Paul Reed,DET,26.0,6-9,81,210,Forward
1630202,Payton Pritchard,BOS,27.0,6-1,73,195,Guard
1641796,Pelle Larsson,MIA,24.0,6-5,77,215,Guard
1631250,Pete Nance,MIL,25.0,6-10,82,225,Forward
1631212,Peyton Watson,DEN,22.0,6-7,79,200,Guard
1630762,Phillip Wheeler,PHI,23.0,6-8,80,185,Forward
1630173,Precious Achiuwa,NYK,25.0,6-8,80,243,Forward
1629656,Quentin Grimes,PHI,25.0,6-4,76,210,Guard
1631245,Quenton Jackson,IND,26.0,6-5,77,173,Guard
1642439,Quincy Olivari,LAL,24.0,6-3,75,200,Guard
1642366,Quinten Post,GSW,25.0,7-0,84,238,Center
1629628,RJ Barrett,TOR,25.0,6-6,78,214,Forward-Guard
1642484,RayJ Dennis,IND,24.0,6-2,74,180,Guard
1641712,Rayan Rupert,POR,21.0,6-6,78,195,Guard-Forward
1641736,Reece Beekman,BKN,23.0,6-3,75,190,Guard
1642263,Reed Sheppard,HOU,21.0,6-2,74,185,Guard
202704,Reggie Jackson,PHI,35.0,6-2,74,208,Guard
1626158,Richaun Holmes,WAS,31.0,6-9,81,235,Forward
1641741,Ricky Council IV,PHI,23.0,6-6,78,207,Guard
1642434,Riley Minix,SAS,24.0,6-7,79,230,Forward
1642265,Rob Dillingham,MIN,20.0,6-3,75,175,Guard
1629057,Robert Williams III,POR,27.0,6-9,81,249,Center-Forward
1631199,Ron Harper Jr.,DET,25.0,6-4,76,233,Guard-Forward
1641842,Ronald Holland II,DET,19.0,6-8,80,206,Forward
1626220,Royce O'Neale,PHX,32.0,6-6,78,226,Forward
203497,Rudy Gobert,MIN,33.0,7-1,85,258,Center
1629060,Rui Hachimura,LAL,27.0,6-8,80,230,Forward
201566,Russell Westbrook,DEN,36.0,6-4,76,200,Guard
1642346,Ryan Dunn,PHX,22.0,6-8,80,216,Forward
1631157,Ryan Rollins,MIL,22.0,6-3,75,180,Guard
1630573,Sam Hauser,BOS,27.0,6-7,79,217,Forward
1630241,Sam Merrill,CLE,29.0,6-4,76,205,Guard
1630572,Sandro Mamukelashvili,SAS,26.0,6-9,81,240,Forward-Center
1630583,Santi Aldama,MEM,24.0,7-0,84,215,Forward-Center
1630703,Scoot Henderson,POR,21.0,6-3,75,206,Guard
1630567,Scottie Barnes,TOR,23.0,6-7,79,237,Forward-Guard
1630590,Scotty Pippen Jr.,MEM,24.0,6-1,73,170,Guard
203552,Seth Curry,CHA,34.0,6-1,73,185,Guard
1631101,Shaedon Sharpe,POR,22.0,6-5,77,208,Guard
1628983,Shai Gilgeous-Alexander,OKC,26.0,6-6,78,195,Guard
1629003,Shake Milton,LAL,28.0,6-5,77,205,Guard
1631321,Sidy Cissoko,POR,21.0,6-6,78,200,Guard
1631323,Simone Fontecchio,DET,29.0,6-7,79,209,Forward
1627746,Skal Labissiere,SAC,29.0,6-10,82,235,Forward-Center
203915,Spencer Dinwiddie,DAL,32.0,6-5,77,215,Guard
1642461,Spencer Jones,DEN,24.0,6-7,79,225,Forward
1630649,Stanley Umude,MIL,26.0,6-6,78,210,Guard
201939,Stephen Curry,GSW,37.0,6-2,74,185,Guard
1642264,Stephon Castle,SAS,20.0,6-6,78,215,Guard
203500,Steven Adams,HOU,31.0,6-11,83,265,Center
1629004,Svi Mykhailiuk,UTA,28.0,6-7,79,205,Guard-Forward
204456,T.J. McConnell,IND,33.0,6-1,73,190,Guard
201959,Taj Gibson,CHA,40.0,6-9,81,232,Forward
1629659,Talen Horton-Tucker,CHI,24.0,6-4,76,234,Guard
1631106,Tari Eason,HOU,24.0,6-8,80,215,Forward
1627752,Taurean Prince,MIL,31.0,6-6,78,218,Forward
1641707,Taylor Hendricks,UTA,21.0,6-9,81,215,Forward
1631386,Taze Moore,POR,27.0,6-5,77,195,Guard
1629611,Terance Mann,ATL,28.0,6-5,77,215,Guard-Forward
1629056,Terence Davis,SAC,28.0,6-4,76,201,Guard
